Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
Axis Bank,3.7k,27.9k,Banking - Mumbai +1421 other locations,1L,1.6k,210,,"Promotions / Appraisal, Work Satisfaction"
Amazon,4.0k,27k,"Internet - Bangalore , Bengaluru +498 other locations",1.3L,5.3k,3k,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Jio,4.0k,25.3k,Telecom - Mumbai +1416 other locations,60.8k,2.2k,56,"Job Security, Skill Development / Learning, Company Culture",
iEnergizer,4.7k,24.4k,BPO - Noida +44 other locations,22.8k,745,287,"Company Culture, Job Security, Skill Development / Learning",
Reliance Retail,3.9k,23.9k,Retail - Mumbai +1086 other locations,66.5k,1.7k,123,"Skill Development / Learning, Job Security",Promotions / Appraisal
IBM,4.0k,23.4k,"IT Services & Consulting - Bangalore , Bengaluru +159 other locations",2L,2.4k,1.8k,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
LTIMindtree,3.7k,22.5k,"IT Services & Consulting - Bangalore , Bengaluru +133 other locations",1.8L,3k,383,,"Promotions / Appraisal, Salary & Benefits"
HDB Financial Services,3.9k,22.1k,NBFC - Mumbai +1028 other locations,49.4k,11k,230,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal
Larsen & Toubro Limited,3.9k,20k,Engineering & Construction - Chennai +706 other locations,69.5k,8.6k,205,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance"
Deloitte,3.8k,19.3k,"Management Consulting - Hyderabad , Secunderabad +165 other locations",2.1L,6k,67,"Job Security, Skill Development / Learning","Work Life Balance, Promotions / Appraisal, Work Satisfaction"
Kotak Mahindra Bank,3.7k,18.9k,Banking - Mumbai +648 other locations,82.8k,5.9k,63,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Reliance Industries,4.0k,17.3k,Oil & Gas - Jamnagar +761 other locations,68.2k,5k,46,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
BYJU'S,3.1k,16.3k,"EdTech - Bangalore , Bengaluru +321 other locations",57.7k,2.4k,--,,"Job Security, Company Culture, Work Life Balance"
Vodafone Idea,4.0k,16.1k,Telecom - Pune +685 other locations,51.4k,7.9k,18,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Bharti Airtel,3.9k,15k,"Telecom - Gurgaon , Gurugram +749 other locations",47.3k,2.6k,512,Skill Development / Learning,Promotions / Appraisal
WNS,3.3k,13k,BPO - Pune +56 other locations,64.3k,4.1k,197,,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Tata Motors,4.2k,12.8k,Automobile - Pune +485 other locations,40.2k,4.1k,140,"Job Security, Company Culture, Work Life Balance",
